Name,Ticker,IM Code,Industry,Sub-Industry,naming,Price (local currency),Currency,Total return from 2018_1_1 (in %) to 2025_September 4,Company Info,Directors,GICS_Industry,GICS Sub industry,Business Description,Market Cap (Local Currency),Market Cap (USD),Last trade date,Sales,"Total Revenue (Local currency, $)","LTM revenue (Local currency, $)","NTM revenue (Local currency, $)","Asset Turnover (x, LTM) ",Profits,"Net profits (Actual, nearest fiscal year FY0, local currency, $)","EPS Trailing (Col A / Col AY), Local",EPS Actual (FY0),EPS Forecast (FY1),EPS Growth (%),PEG (X),"Operating Margin (%, Trailing)",Operating Profits per share,"ROA (%, Trailing)","ROE (%, Trailing)",Operating Leverage,Contributing Margin,"Operating Margin (%, Trailing)",Operating Leverage (x) (chg of EBIT / chg. Of total revenue),Financials,"Altman Z Score Manufacturing (x, FY0)","Altman Z Score Non-Manufacturing (x, FY0)","RoA (%, Trailinig)","RoE (%, Trailing)","Total Assets (Local, $ FY0)","Net assets (Local $, FY0)",Net tangible assets,"Total Debt (Local $, FY0)","Interest expense per year ($, FY0)","Effective average interest rate (%, FY0)","Interest Coverage Ratio (x, FY0)","Debt to Total assets (%, FY0)",Debt to Equity %  (Trailing),"EBITDA  (Local $, FY0)","EBITDA  (Local $, FY-1)",Chg. Of EBITDA,"Cash flow from operations (Local $, FY0)","Cash flow from operations (Local $, FY-1)",Chg. Of CF from Operations,"Interest coverage ratio (x, FY0)","Current Ratio (x, Trailing)","Quick Ratio (x, Trailing)","Ratio of ""Operating CF / Total Debt""  (x)",Valuation,"PE ratio (x, Trailing)","PEG ratio (x, FY1)","PE Ratio (x, consensus forecast)","Dividend yield (%, FY0)",Dividend payout ratio  (%),Dividend (local currency),"Dividened per Share of common stock primary, 3 yr CAGR","Dividened per Share of common stock primary, 5 yr CAGR","Dividened per Share of common stock primary, 10 yr CAGR",Standard Deviation of Dividend per share in the last 3 years,Standard Deviation of Dividend per share in the last 5 years,Standard Deviation of Dividend per share in the last 10 years,"Net assets per share ($, FY0)",,Altman Z score__Manufatcuring weight,WorkingCapital to Total Assets (x),[WorkCap / Tassets] * 1.2,Retained Earnings Accumulated to Total Assets (x),[RetEarnings / Tassets] *1.4,EBIT / Total Assets (x),[EBIT / Tassets]  *3.3,Mkt Value of Equity / BV of Total Liabilities (x),[MktV Equity / BV Tliab]  *0.6,Sales to Total Assets (x ),[Sales / Tassets]  *1,Sum check,,52w_Hi (Local),52w_Lo (Local)
Shanghai RAAS Blood Products Co Ltd,002252.SZ,A1,Body,biotech companies ,IS - A1 biotech companies  - Shanghai RAAS Blood Products Co Ltd - 002252.SZ,6.76,Chinese Renminbi,-65.015,,Ms. Lixia Tan,Biotechnology,Biotechnology,"Shanghai RAAS Blood Products Co Ltd is a China-based company that is primarily engaged in the research and development, production and sales of blood products. The Company's main products include human albumin, intravenous human immunoglobulin, specific immunoglobulin and human coagulation factor products. The Company sells its products in the domestic market and overseas markets.","44,872,149,159.85","6,302,060,827.69",4/9/2025,,"8,176,460,050.00","7,876,312,860.00","9,222,151,667.50",0.231,,"2,193,293,000.00",0.30,0.33,0.363,10.10%,NULL,29.755,,5.809,6.242,,,29.755,-3.168,,18.054,32.489,5.809,6.242,"33,631,225,250","31,951,679,800",,"23,673,550",NULL,1.751,9491.416,0.07%,2.407262039,"2,864,035,000","2,306,248,000",24.19%,"-482,055,040","2,277,884,080",-121.16%,9491.416,4.497,2.539,-20.363,,22.651,NULL,17.914,1.04%,NULL,0.07,35.721%,47.577%,9.682%,0.028 ,0.028 ,0.023 ,NULL,,18.054,0.226,0.271,0.323,0.452,0.065,0.215,28.110,16.866,0.249,0.249,18.054,,8.68,6.42
Chongqing Zhifei Biological Products Co Ltd,300122.SZ,A1,Body,biotech companies ,IS - A1 biotech companies  - Chongqing Zhifei Biological Products Co Ltd - 300122.SZ,21.38,Chinese Renminbi,22.696,,Mr. Rensheng Jiang,Biotechnology,Biotechnology,"Chongqing Zhifei Biological Products Co., Ltd. is a China-based company principally engaged in the research, development, production, sale and distribution of vaccine products. The Company's main products include bacterial vaccines for the prevention of meningitis and pneumonia-based bacteria, biological products for the prevision and treatment of tuberculosis, viral vaccines for the prevention of rabies virus, influenza virus and other virus, general drugs and other biological products, among others. The Company is also involved in the agency sale of vaccines. The Company distributes its products in domestic market and to overseas markets, with Central China as its main market.","51,178,508,145.55","7,173,257,426.53",4/9/2025,,"26,069,711,360.00","12,730,486,690.00","11,409,030,582.50",0.249,,"2,018,478,000.00",0.84,0.843,-0.330,-139.15%,NULL,-10.132,,-1.650,-2.646,,,-10.132,1.472,,4.002,8.640,-1.650,-2.646,"49,909,613,840","31,061,142,220",,"12,359,875,500",NULL,1.908,15.950,24.76%,41.52971656,"2,777,904,000","9,759,043,000",-71.54%,"-4,413,989,320","8,996,369,980",-149.06%,15.950,2.271,1.068,-0.357,,25.371,NULL,34.738,0.94%,NULL,0.20,(20.630%),(9.712%),19.624%,0.258 ,0.207 ,0.220 ,12.879,,4.002,0.458,0.549,0.570,0.798,0.047,0.154,3.300,1.980,0.521,0.521,4.002,,40.43,18.70
Imeik Technology Development Co Ltd,300896.SZ,A1,Body,biotech companies ,IS - A1 biotech companies  - Imeik Technology Development Co Ltd - 300896.SZ,184.07,Chinese Renminbi,43.180,,Ms. Jun Jian,Biotechnology,Biotechnology,"Imeik Technology Development Co Ltd is a China-based company mainly engaged in the research and development, production and sales of biomedical materials. The Company focuses on the development and transformation of biomedical materials, and is committed to the development of biomedicine such as recombinant proteins and peptides. The Company has realized the industrialization of injection-type sodium hyaluronate series products and polydioxanone facial implants, and has established a product technology transformation platform for biomedical materials such as medical chitosan and polylactic acid. The Company's self-developed products are mainly aimed at the repair of fold skin on the face and neck. The clinical applications of its products cover medical cosmetology, surgical repair, and treatment of metabolic diseases. The Company mainly conducts its businesses in the China market.","55,697,340,746.40","7,799,327,956.46",4/9/2025,,"3,025,668,450.00","2,667,940,980.00","3,423,325,697.50",0.324,,"1,957,597,000.00",5.40,6.5,6.352,-2.28%,2.050,71.100,,19.767,21.275,,,71.100,0.704,,63.752,114.093,19.767,21.275,"8,340,486,260","7,952,467,210",,"44,959,600","2,549,550",5.234,853.256,0.54%,0.577480491,"2,304,409,000","2,156,635,000",6.85%,"1,927,174,520","1,954,070,640",-1.38%,853.256,15.559,15.336,42.865,,34.087,2.050,24.138,2.06%,92.62%,3.80,36.321%,NULL,NULL,1.061 ,0.994 ,0.994 ,26.273,,63.752,0.564,0.676,0.543,0.760,0.286,0.945,101.620,60.972,0.398,0.398,63.752,,282.72,132.81
Beijing Tiantan Biological Products Corp Ltd,600161.SS,A1,Body,biotech companies ,IS - A1 biotech companies  - Beijing Tiantan Biological Products Corp Ltd - 600161.SS,19.72,Chinese Renminbi,90.208,,Mr. Huichuan Yang,Biotechnology,Biotechnology,"Beijing Tiantan Biological Products Corp Ltd is a China-based company principally engaged in the research and development, production and sales of blood products. The Company's main products include human albumin, human immunoglobulin (pH4) for intravenous injection, human immunoglobulin, human rabies immunoglobulin, human hepatitis B immunoglobulin, human histamine immunoglobulin, human prothrombin complex and others. The Company's products are mainly used to treat shock caused by blood loss, trauma and burns, treat primary immunoglobulin G deficiency, neonatal sepsis, infant bronchiolitis, prevent and treat tetanus and others. The Company mainly operates its businesses in the domestic and overseas markets.","38,993,218,898.67","5,460,240,977.28",4/9/2025,,"6,031,865,460.00","6,300,884,040.00","7,555,336,800.00",0.396,,"1,549,165,000.00",0.74,0.78,0.783,0.44%,NULL,38.040,,12.567,13.228,,,38.040,2.792,,7.183,14.222,12.567,13.228,"15,869,522,220","14,581,000,000",,"73,990,260",NULL,4.350,489.055,0.47%,0.886453465,"2,887,694,000","2,044,305,000",41.26%,"819,780,710","2,393,576,030",-65.75%,489.055,6.495,3.434,11.080,,26.788,NULL,23.348,0.51%,NULL,0.10,12.927%,23.562%,NULL,0.036 ,0.034 ,0.040 ,NULL,,7.183,0.416,0.499,0.422,0.591,0.167,0.550,8.569,5.141,0.401,0.401,7.183,,27.60,18.88
Beijing Wantai Biological Pharmacy Enterprise Co Ltd,603392.SS,A1,Body,biotech companies ,IS - A1 biotech companies  - Beijing Wantai Biological Pharmacy Enterprise Co Ltd - 603392.SS,56.85,Chinese Renminbi,1204.651,,Mr. Zixin Qiu,Biotechnology,Biotechnology,"Beijing Wantai Biological Pharmacy Enterprise Co Ltd is a China-based company mainly engaged in the production and sale of vaccine products. The Company operates two segments. Diagnostic segment produces and sells in vitro diagnostic reagents and instruments suitable for in vitro diagnostic reagent testing. Vaccine segment produces and sells vaccines. The in vitro diagnostic reagents mainly include enzyme-linked immunosorbent assay reagents, colloidal gold diagnostic reagents, biochemical diagnostic reagents, chemiluminescent diagnostic reagents, and others. The in vitro diagnostic instruments include fully automatic chemiluminescent immunoassay analyzers, dry fluorescent immunoassay analyzers, fully automatic nucleic acid purification, and others. The vaccines mainly include hepatitis E vaccine, bivalent human papillomavirus (HPV) vaccine and nasal spray COVID-19 vaccine.","71,922,229,701.90","10,056,994,410.06",4/9/2025,,"2,245,403,250.00","1,722,920,010.00","2,427,537,500.00",0.118,,"106,235,430.00",0.08,0.08,-0.010,-112.50%,22.035,-22.895,,-2.058,-2.432,,,-22.895,1.830,,23.440,43.125,-2.058,-2.432,"14,689,396,310",NULL,,"341,631,050",NULL,2.539,-14.292,2.33%,2.609539812,"354,011,000","1,564,088,000",-77.37%,NULL,NULL,#VALUE!,-14.292,4.372,3.889,#VALUE!,,710.625,22.035,845.224,0.00%,0.00%,0.00,NULL,NULL,NULL,0.317 ,0.288 ,0.288 ,NULL,,23.440,0.433,0.520,0.541,0.758,-0.008,-0.026,36.735,22.041,0.148,0.148,23.440,,89.89,54.24
Huadong Medicine Co Ltd,000963.SZ,A1,Body,Drug companies (medicine) ,IS - A1 Drug companies (medicine)  - Huadong Medicine Co Ltd - 000963.SZ,42.55,Chinese Renminbi,56.447,,Mr. Liang Lu,Health Care Providers & Services,Health Care Distributors,"Huadong Medicine Co Ltd is a China-based company primarily engaged in the research and development, production and distribution of pharmaceuticals. The Company mainly operates its business through four segments. The Manufacturing Business segment is engaged in the research and development, production and marketing of specialized medicines, medicines for chronic diseases, as well as special medicines. The Commercial Business segment is engaged in the sales of medicines, medical devices, and ginseng and antler pieces. The International Medical Aesthetics Business segment is engaged in the production and sales of regeneration products, hyaluronic acids and botulinum toxin products. The Company also operates the Headquarters segment. The Company conducts its business in the domestic and overseas markets.","74,634,933,290.13","10,453,625,222.35",4/9/2025,,"41,905,707,390.00","42,615,570,760.00","47,151,480,440.00",1.119,,"3,512,105,000.00",2.07,2.003,2.245,12.07%,0.817,10.533,,9.483,15.815,,,10.533,6.549,,4.972,8.023,9.483,15.815,"37,879,046,370","23,563,755,000",,"5,605,539,070","96,949,120",3.092,31.241,14.80%,11.63239392,"5,211,765,000","4,323,366,000",20.55%,"3,748,928,880","3,929,217,000",-4.59%,31.241,1.532,1.183,0.669,,20.596,0.817,17.426,2.19%,NULL,0.93,47.467%,27.135%,13.789%,0.304 ,0.274 ,0.205 ,13.537,,4.972,0.192,0.230,0.498,0.697,0.125,0.414,4.096,2.458,1.174,1.174,4.972,,47.36,26.96
Guangzhou Baiyunshan Pharmaceutical Holdings Co Ltd,600332.SS,A1,Body,Drug companies (medicine) ,IS - A1 Drug companies (medicine)  - Guangzhou Baiyunshan Pharmaceutical Holdings Co Ltd - 600332.SS,26.39,Chinese Renminbi,-4.299,,Mr. Xiaojun Li,Health Care Providers & Services,Health Care Distributors,"Guangzhou Baiyunshan Pharmaceutical Holdings Co Ltd is a China-based company primarily engaged in the business of pharmaceutical and health. The Company operates through four segments. The Great Southern Medicine segment is engaged in the research and development, manufacturing and sales of Chinese and Western patent medicines, chemical active pharmaceutical ingredients, biopharmaceuticals and natural medicines. The Great Health segment is engaged in the production, research and development and sales of beverages, food, health products and other products. The Great Commercial segment is engaged in the wholesale, retail and import and export of pharmaceutical products, medical devices, health products and other products. The Great Medical segment is engaged in the investment in medical services, traditional Chinese medicine health care, modern elderly care and medical device industries. The Company mainly operates its businesses in the domestic and overseas markets.","40,744,687,992.84","5,703,524,323.32",4/9/2025,,"74,992,820,470.00","75,784,551,500.00","81,427,734,165.00",0.943,,"2,835,496,000.00",1.72,1.744,1.910,9.52%,NULL,3.950,,3.613,7.573,,,3.950,33.097,,2.382,3.843,3.613,7.573,"81,683,611,520",NULL,,"18,503,321,840",NULL,2.437,8.697,22.65%,48.13242566,"4,509,865,000","6,086,656,000",-25.91%,"3,442,426,600","4,103,625,000",-16.11%,8.697,1.507,1.197,0.186,,15.309,NULL,NULL,3.03%,46.41%,0.80,5.207%,6.315%,11.069%,0.163 ,0.134 ,0.189 ,NULL,,2.382,0.231,0.277,0.296,0.414,0.045,0.150,1.009,0.606,0.936,0.936,2.382,,33.72,24.30
Changchun High-Tech Industry Group Co Ltd,000661.SZ,A1,Body,Drug companies / biotech ,IS - A1 Drug companies / biotech  - Changchun High-Tech Industry Group Co Ltd - 000661.SZ,119.04,Chinese Renminbi,41.330,,Mr. Yuntao Jiang,Pharmaceuticals,Pharmaceuticals,"Changchun High-Tech Industry Group Co Ltd is a China-based company primarily engaged in the research and development, production and sales of biopharmaceuticals and traditional Chinese medicines. The Company mainly operates its business through three segments. The Pharmaceuticals segment is engaged in the research and development, production and sale of genetically engineered biological drugs, human vaccines, traditional Chinese medicines, and chemical drugs. The Real Estate segment is engaged in the development and sale of real estate. The Services segment is engaged in the provision of scientific research and technical services, leasing and business services. The Company's products include growth hormone series products, follicle-stimulating hormone, varicella live attenuated vaccine, freeze-dried nasal spray influenza live attenuated vaccine, Yinhua Miyanling tablets and other products. The Company conducts its business in the domestic and overseas markets.","48,560,203,470.60","6,802,767,010.48",4/9/2025,,"13,465,627,320.00","13,429,791,570.00","14,227,451,427.50",0.431,,"2,583,058,000.00",4.64,6.42,6.064,-5.55%,NULL,16.118,,5.953,8.105,,,16.118,5.569,,5.172,10.755,5.953,8.105,"31,051,118,040",NULL,,"1,778,716,460","37,224,640",2.099,90.882,5.73%,7.193692098,"3,880,841,000","6,051,746,000",-35.87%,"3,104,279,410","5,103,687,810",-39.18%,90.882,4.370,3.083,1.745,,25.655,NULL,17.914,2.18%,NULL,2.60,48.125%,39.060%,28.117%,2.081 ,1.675 ,1.276 ,NULL,,5.172,0.414,0.497,0.638,0.893,0.109,0.361,4.976,2.986,0.436,0.436,5.172,,127.77,77.50
Sichuan Biokin Pharmaceutical Co Ltd,688506.SS,A1,Body,Drug companies / biotech ,IS - A1 Drug companies / biotech  - Sichuan Biokin Pharmaceutical Co Ltd - 688506.SS,392.5,Chinese Renminbi,1124.649,,Mr. Yi Zhu,Pharmaceuticals,Pharmaceuticals,"Sichuan Biokin Pharmaceutical Co Ltd is a China-based company mainly engaged in drug research and development, production and marketing. The Company is mainly engaged in two business sectors: chemical preparations and Chinese patent medicine preparations, and innovative biological medicine business. The Company's main products include propofol emulsion injection, dexmedetomidine hydrochloride injection, medium/long chain fat emulsion injection, ribavirin granules and other chemical preparations, Chaihuang granules and other Chinese patent medicine preparations. The Company mainly conducts its business in the domestic market.","157,390,296,086.26","21,936,688,884.53",4/9/2025,,"5,822,717,800.00","441,187,890.00","2,146,625,000.00",0.062,,"3,707,505,000.00",9.25,9.12,0.160,-98.25%,NULL,-509.297,,-28.887,-55.713,,,-509.297,0.638,,19.653,35.833,-28.887,-55.713,"7,137,357,660","3,928,191,370",,"2,174,559,360","42,523,000",2.968,87.500,30.47%,71.33559481,"3,835,718,000",NULL,#VALUE!,"4,058,670,130",NULL,#VALUE!,87.500,3.278,3.187,1.866,,42.452,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,19.653,0.606,0.728,0.364,0.510,0.869,2.868,23.646,14.188,1.360,1.360,19.653,,411.00,134.55
Yunnan Baiyao Group Co Ltd,000538.SZ,A1,Body,Drug companies / personal care products ,IS - A1 Drug companies_ personal care products  - Yunnan Baiyao Group Co Ltd - 000538.SZ,58.68,Chinese Renminbi,2.032,,Mr. Wenxue Zhang,Pharmaceuticals,Pharmaceuticals,"Yunnan Baiyao Group Co Ltd is a China-based company primarily engaged in the research, development, production and sales of pharmaceuticals. The Company is mainly engaged in four businesses. The pharmaceutical business is mainly engaged in the research, development and production of Yunnan Baiyao series, natural specialty brand traditional Chinese medicine and Panax notoginseng plant supplement products. The health products business is mainly engaged in the production and sales of toothpaste, oral care and Yangyuanqing anti-hair loss products. The traditional Chinese medicine resources business is mainly engaged in the production and sales of Panax notoginseng series, brand medicinal materials, raw material extracts, traditional Chinese medicine pieces and health food groups. Yunnan Pharmaceutical Co., Ltd is mainly engaged in pharmaceutical commercial distribution business. The Company mainly conducts its businesses in the domestic market.","104,699,063,458.07","14,681,052,812.09",4/9/2025,,"40,033,300,820.00","40,835,117,430.00","44,209,965,167.50",0.752,,"4,749,415,000.00",2.91,2.66,2.973,11.75%,3.992,15.186,,9.633,12.959,,,15.186,11.129,,6.595,12.404,9.633,12.959,"52,914,181,340","39,166,416,710",,"2,721,888,290","63,177,000",1.900,73.662,5.14%,1.485507083,"5,905,967,000","4,944,458,000",19.45%,"4,297,003,140","3,502,742,350",22.68%,73.662,2.745,2.276,1.579,,20.160,3.992,18.911,4.09%,117.39%,2.40,28.022%,2.275%,20.976%,0.561 ,0.594 ,0.825 ,21.951,,6.595,0.402,0.483,0.369,0.516,0.087,0.288,7.596,4.558,0.750,0.750,6.595,,67.10,49.80
