"Table 5.2.6. Real Gross and Net Domestic Investment by Major Type, Chained dollars"
"Table 5.2.6. Real Gross and Net Domestic Investment by Major Type, Chained dollars"
"Last Revised on: September 27, 2024"
Line,,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,
1,"            Gross domestic investment",3981.1,4149.1,4379.6,4522.9,4386.9,4679.7,4903.8,4966.2
2,"            Less: Consumption of fixed capital",3056.0,3149.0,3254.1,3367.9,3468.9,3571.7,3689.4,3807.9
3,"            Equals: Net domestic investment",925.0,1000.1,1125.5,1154.8,916.8,1108.3,1216.0,1158.1
4,Gross private domestic investment,3320.2,3467.7,3668.1,3784.0,3612.1,3929.2,4164.3,4169.2
5,Less: Consumption of fixed capital,2514.2,2599.1,2694.0,2795.7,2882.4,2969.7,3072.2,3175.1
6,Equals: Net private domestic investment,806.0,868.6,974.1,988.3,729.7,959.5,1092.1,994.1
7,"    Fixed investment",3286.9,3435.0,3611.7,3710.9,3639.0,3902.9,4007.5,4103.9
8,"    Less: Consumption of fixed capital",2514.2,2599.1,2694.0,2795.7,2882.4,2969.7,3072.2,3175.1
9,"    Equals: Net fixed investment",772.7,835.9,917.7,915.2,756.6,933.2,935.3,928.8
10,"        Nonresidential",2544.8,2661.1,2844.3,2952.2,2815.5,2985.2,3192.9,3384.5
11,"        Less: Consumption of fixed capital",2030.0,2107.9,2197.5,2295.1,2375.6,2454.3,2552.3,2658.0
12,"        Equals: Net nonresidential",514.8,553.2,646.8,657.1,439.8,530.9,640.6,726.5
13,"            Structures",579.7,594.9,629.2,644.0,585.0,569.6,590.3,654.3
14,"            Less: Consumption of fixed capital",432.3,432.8,435.6,440.0,442.7,443.7,445.7,449.8
15,"            Equals: Net structures",147.5,162.1,193.7,204.0,142.3,125.9,144.5,204.4
16,"            Equipment",1117.5,1160.0,1228.6,1241.1,1115.6,1190.3,1242.2,1285.2
17,"            Less: Consumption of fixed capital",889.1,918.6,952.0,987.9,1009.4,1022.8,1039.2,1059.1
18,"            Equals: Net equipment",228.4,241.3,276.6,253.2,106.2,167.5,203.0,226.1
19,"            Intellectual property products",847.6,906.2,986.5,1067.0,1115.1,1228.9,1367.1,1445.9
20,"            Less: Consumption of fixed capital",708.8,756.4,809.8,867.2,923.8,988.4,1070.5,1157.3
21,"            Equals: Net intellectual property products",138.9,149.8,176.6,199.9,191.3,240.5,296.6,288.6
22,"        Residential",742.2,773.9,768.5,761.6,820.1,909.4,831.6,762.7
23,"        Less: Consumption of fixed capital",484.3,491.2,496.8,501.9,508.9,518.5,525.8,527.7
24,"        Equals: Net residential",257.8,282.7,271.7,259.7,311.2,390.9,305.8,235.0
25,"    Change in private inventories",33.4,32.7,54.3,72.4,-29.6,11.6,119.1,33.1
26,Gross government investment1,660.8,681.4,711.6,738.9,773.8,751.0,741.3,797.2
27,Less: Consumption of fixed capital,541.9,549.9,560.2,572.4,586.7,602.2,617.5,633.2
28,Equals: Net government investment,119.0,131.5,151.4,166.5,187.2,148.8,123.8,164.1
29,"        Federal",0.3,7.4,22.8,33.9,55.3,52.1,48.4,59.8
30,"            National defense",-16.7,-10.6,0.0,9.8,18.3,11.9,9.2,17.9
31,"            Nondefense",17.0,18.0,22.8,24.1,36.9,40.3,39.1,41.8
32,"        State and local",118.7,124.2,128.7,132.8,132.4,98.5,77.9,105.4
33,"    Structures",320.8,323.0,331.2,341.4,344.7,311.6,292.1,320.1
34,"    Less: Consumption of fixed capital",217.1,219.0,220.9,223.0,225.2,227.0,228.4,229.8
35,"    Equals: Net structures",103.7,104.0,110.3,118.4,119.6,84.6,63.7,90.3
36,"            Federal",-8.3,-10.3,-8.3,-5.2,-2.2,-6.6,-6.3,-2.8
37,"                National defense",-7.7,-7.3,-7.0,-6.1,-4.2,-4.9,-4.9,-3.7
38,"                Nondefense",-0.6,-3.0,-1.4,0.9,2.0,-1.7,-1.4,0.9
39,"            State and local",112.0,114.3,118.6,123.6,121.8,91.2,70.0,93.1
40,"    Equipment",133.3,140.7,148.7,159.4,167.4,159.6,154.7,161.9
41,"    Less: Consumption of fixed capital",131.9,132.4,134.0,136.6,140.1,143.3,145.2,146.9
42,"    Equals: Net equipment",1.4,8.3,14.7,22.8,27.4,16.3,9.4,14.9
43,"            Federal",1.0,6.1,12.3,20.2,22.9,16.2,7.9,9.2
44,"                National defense",-2.2,3.2,9.2,17.5,16.7,12.7,4.6,7.5
45,"                Nondefense",3.2,2.8,3.2,2.7,6.1,3.5,3.4,1.7
